date,product_name,category,quantity_sold,revenue,region,price,stock
2023-01-16,Lumina VR Headset,Wearables,14,630000,East,45000,117
2023-01-16,Echelon Gaming Desk,Furniture,7,245000,North,35000,191
2023-01-17,Quantum Pro Laptop,Electronics,5,750000,West,150000,185
2023-01-17,Titan GPU X,Components,7,595000,East,85000,194
2023-01-17,Aero Max Drone,Gadgets,12,780000,East,65000,164
2023-01-17,Lumina VR Headset,Wearables,10,450000,South,45000,168
2023-01-17,Echelon Gaming Desk,Furniture,10,350000,South,35000,158
2023-01-18,Quantum Pro Laptop,Electronics,3,450000,East,150000,57
2023-01-18,Titan GPU X,Components,9,765000,South,85000,146
2023-01-18,Aero Max Drone,Gadgets,13,845000,West,65000,160
2023-01-18,Lumina VR Headset,Wearables,11,495000,North,45000,97
2023-01-18,Echelon Gaming Desk,Furniture,10,350000,East,35000,53
2023-01-19,Quantum Pro Laptop,Electronics,5,750000,North,150000,95
2023-01-19,Titan GPU X,Components,7,595000,North,85000,55
2023-01-19,Aero Max Drone,Gadgets,11,715000,North,65000,144
2023-01-19,Lumina VR Headset,Wearables,16,720000,East,45000,165
2023-01-19,Echelon Gaming Desk,Furniture,8,280000,East,35000,116
2023-01-20,Quantum Pro Laptop,Electronics,3,450000,West,150000,67
2023-01-20,Titan GPU X,Components,8,680000,South,85000,116
2023-01-20,Aero Max Drone,Gadgets,12,780000,West,65000,73
2023-01-20,Lumina VR Headset,Wearables,16,720000,East,45000,176
2023-01-20,Echelon Gaming Desk,Furniture,8,280000,East,35000,179
2023-01-21,Quantum Pro Laptop,Electronics,8,1200000,North,150000,92
2023-01-21,Titan GPU X,Components,10,850000,South,85000,88
2023-01-21,Aero Max Drone,Gadgets,19,1235000,East,65000,99
2023-01-21,Lumina VR Headset,Wearables,19,855000,North,45000,62
2023-01-21,Echelon Gaming Desk,Furniture,11,385000,West,35000,193
2023-01-22,Quantum Pro Laptop,Electronics,7,1050000,South,150000,164
2023-01-22,Titan GPU X,Components,9,765000,South,85000,81
2023-01-22,Aero Max Drone,Gadgets,13,845000,East,65000,135
2023-01-22,Lumina VR Headset,Wearables,18,810000,South,45000,174
2023-01-22,Echelon Gaming Desk,Furniture,13,455000,South,35000,107
2023-01-23,Quantum Pro Laptop,Electronics,4,600000,South,150000,119
2023-01-23,Titan GPU X,Components,8,680000,East,85000,103
2023-01-23,Aero Max Drone,Gadgets,8,520000,West,65000,102
2023-01-23,Lumina VR Headset,Wearables,16,720000,West,45000,157
2023-01-23,Echelon Gaming Desk,Furniture,9,315000,North,35000,165
2023-01-24,Quantum Pro Laptop,Electronics,5,750000,South,150000,96
2023-01-24,Titan GPU X,Components,7,595000,West,85000,62
2023-01-24,Aero Max Drone,Gadgets,12,780000,South,65000,173
2023-01-24,Lumina VR Headset,Wearables,12,540000,South,45000,139
2023-01-24,Echelon Gaming Desk,Furniture,7,245000,North,35000,166
2023-01-25,Quantum Pro Laptop,Electronics,4,600000,West,150000,178
2023-01-25,Titan GPU X,Components,7,595000,South,85000,171
2023-01-25,Aero Max Drone,Gadgets,11,715000,South,65000,167
2023-01-25,Lumina VR Headset,Wearables,13,585000,West,45000,138
2023-01-25,Echelon Gaming Desk,Furniture,8,280000,West,35000,118
2023-01-26,Quantum Pro Laptop,Electronics,5,750000,South,150000,142
2023-01-26,Titan GPU X,Components,6,510000,West,85000,135
2023-01-26,Aero Max Drone,Gadgets,11,715000,North,65000,78
2023-01-26,Lumina VR Headset,Wearables,14,630000,South,45000,134
2023-01-26,Echelon Gaming Desk,Furniture,12,420000,East,35000,149
2023-01-27,Quantum Pro Laptop,Electronics,4,600000,East,150000,59
2023-01-27,Titan GPU X,Components,6,510000,South,85000,118
2023-01-27,Aero Max Drone,Gadgets,11,715000,South,65000,196
2023-01-27,Lumina VR Headset,Wearables,16,720000,South,45000,145
2023-01-27,Echelon Gaming Desk,Furniture,10,350000,West,35000,65
2023-01-28,Quantum Pro Laptop,Electronics,8,1200000,West,150000,129
2023-01-28,Titan GPU X,Components,11,935000,West,85000,133
2023-01-28,Aero Max Drone,Gadgets,17,1105000,West,65000,189
2023-01-28,Lumina VR Headset,Wearables,26,1170000,North,45000,150
2023-01-28,Echelon Gaming Desk,Furniture,11,385000,West,35000,116
2023-01-29,Quantum Pro Laptop,Electronics,7,1050000,East,150000,93
2023-01-29,Titan GPU X,Components,13,1105000,North,85000,190
2023-01-29,Aero Max Drone,Gadgets,15,975000,North,65000,84
2023-01-29,Lumina VR Headset,Wearables,17,765000,East,45000,130
2023-01-29,Echelon Gaming Desk,Furniture,11,385000,South,35000,139
2023-01-30,Quantum Pro Laptop,Electronics,6,900000,South,150000,164
2023-01-30,Titan GPU X,Components,7,595000,North,85000,163
2023-01-30,Aero Max Drone,Gadgets,11,715000,North,65000,124
2023-01-30,Lumina VR Headset,Wearables,16,720000,North,45000,187
2023-01-30,Echelon Gaming Desk,Furniture,11,385000,North,35000,148
2023-01-31,Quantum Pro Laptop,Electronics,3,450000,East,150000,145
2023-01-31,Titan GPU X,Components,6,510000,West,85000,86
2023-01-31,Aero Max Drone,Gadgets,13,845000,East,65000,148
2023-01-31,Lumina VR Headset,Wearables,12,540000,North,45000,79
2023-01-31,Echelon Gaming Desk,Furniture,10,350000,West,35000,135
2023-02-01,Quantum Pro Laptop,Electronics,5,750000,North,150000,68
2023-02-01,Titan GPU X,Components,8,680000,West,85000,101
2023-02-01,Aero Max Drone,Gadgets,11,715000,East,65000,160
2023-02-01,Lumina VR Headset,Wearables,17,765000,North,45000,102
2023-02-01,Echelon Gaming Desk,Furniture,13,455000,East,35000,193
2023-02-02,Quantum Pro Laptop,Electronics,4,600000,East,150000,171
2023-02-02,Titan GPU X,Components,8,680000,North,85000,124
2023-02-02,Aero Max Drone,Gadgets,13,845000,North,65000,56
2023-02-02,Lumina VR Headset,Wearables,18,810000,South,45000,190
2023-02-02,Echelon Gaming Desk,Furniture,9,315000,East,35000,171
2023-02-03,Quantum Pro Laptop,Electronics,4,600000,South,150000,54
2023-02-03,Titan GPU X,Components,6,510000,West,85000,158
2023-02-03,Aero Max Drone,Gadgets,12,780000,North,65000,135
2023-02-03,Lumina VR Headset,Wearables,13,585000,North,45000,157
2023-02-03,Echelon Gaming Desk,Furniture,9,315000,South,35000,140
2023-02-04,Quantum Pro Laptop,Electronics,6,900000,South,150000,190
2023-02-04,Titan GPU X,Components,9,765000,South,85000,175
2023-02-04,Aero Max Drone,Gadgets,17,1105000,North,65000,180
2023-02-04,Lumina VR Headset,Wearables,18,810000,North,45000,141
2023-02-04,Echelon Gaming Desk,Furniture,14,490000,North,35000,105
2023-02-05,Quantum Pro Laptop,Electronics,7,1050000,North,150000,166
2023-02-05,Titan GPU X,Components,11,935000,East,85000,196
2023-02-05,Aero Max Drone,Gadgets,19,1235000,West,65000,195
2023-02-05,Lumina VR Headset,Wearables,19,855000,East,45000,50
2023-02-05,Echelon Gaming Desk,Furniture,13,455000,North,35000,103
2023-02-06,Quantum Pro Laptop,Electronics,5,750000,North,150000,61
2023-02-06,Titan GPU X,Components,8,680000,South,85000,65
2023-02-06,Aero Max Drone,Gadgets,12,780000,West,65000,166
2023-02-06,Lumina VR Headset,Wearables,17,765000,West,45000,171
2023-02-06,Echelon Gaming Desk,Furniture,9,315000,South,35000,109
2023-02-07,Quantum Pro Laptop,Electronics,4,600000,South,150000,77
2023-02-07,Titan GPU X,Components,5,425000,West,85000,190
2023-02-07,Aero Max Drone,Gadgets,12,780000,South,65000,84
2023-02-07,Lumina VR Headset,Wearables,17,765000,South,45000,59
2023-02-07,Echelon Gaming Desk,Furniture,12,420000,West,35000,79
2023-02-08,Quantum Pro Laptop,Electronics,5,750000,North,150000,195
2023-02-08,Titan GPU X,Components,7,595000,West,85000,60
2023-02-08,Aero Max Drone,Gadgets,9,585000,South,65000,108
2023-02-08,Lumina VR Headset,Wearables,18,810000,East,45000,147
2023-02-08,Echelon Gaming Desk,Furniture,10,350000,North,35000,151
2023-02-09,Quantum Pro Laptop,Electronics,6,900000,East,150000,72
2023-02-09,Titan GPU X,Components,7,595000,South,85000,159
2023-02-09,Aero Max Drone,Gadgets,13,845000,North,65000,100
2023-02-09,Lumina VR Headset,Wearables,13,585000,North,45000,162
2023-02-09,Echelon Gaming Desk,Furniture,9,315000,West,35000,81
2023-02-10,Quantum Pro Laptop,Electronics,5,750000,South,150000,167
2023-02-10,Titan GPU X,Components,7,595000,East,85000,172
2023-02-10,Aero Max Drone,Gadgets,13,845000,West,65000,182
2023-02-10,Lumina VR Headset,Wearables,14,630000,South,45000,106
2023-02-10,Echelon Gaming Desk,Furniture,9,315000,East,35000,134
2023-02-11,Quantum Pro Laptop,Electronics,9,1350000,South,150000,115
2023-02-11,Titan GPU X,Components,11,935000,South,85000,147
2023-02-11,Aero Max Drone,Gadgets,17,1105000,South,65000,79
2023-02-11,Lumina VR Headset,Wearables,18,810000,South,45000,101
2023-02-11,Echelon Gaming Desk,Furniture,14,490000,North,35000,128
2023-02-12,Quantum Pro Laptop,Electronics,8,1200000,East,150000,130
2023-02-12,Titan GPU X,Components,9,765000,North,85000,78
2023-02-12,Aero Max Drone,Gadgets,12,780000,West,65000,118
2023-02-12,Lumina VR Headset,Wearables,21,945000,South,45000,55
2023-02-12,Echelon Gaming Desk,Furniture,9,315000,East,35000,92
2023-02-13,Quantum Pro Laptop,Electronics,5,750000,West,150000,164
2023-02-13,Titan GPU X,Components,5,425000,West,85000,144
2023-02-13,Aero Max Drone,Gadgets,16,1040000,East,65000,167
2023-02-13,Lumina VR Headset,Wearables,13,585000,West,45000,74
2023-02-13,Echelon Gaming Desk,Furniture,11,385000,East,35000,145
2023-02-14,Quantum Pro Laptop,Electronics,6,900000,South,150000,110
2023-02-14,Titan GPU X,Components,7,595000,South,85000,100
2023-02-14,Aero Max Drone,Gadgets,10,650000,North,65000,119
2023-02-14,Lumina VR Headset,Wearables,14,630000,North,45000,182
2023-02-14,Echelon Gaming Desk,Furniture,8,280000,South,35000,127
2023-02-15,Quantum Pro Laptop,Electronics,4,600000,South,150000,94
2023-02-15,Titan GPU X,Components,7,595000,East,85000,170
2023-02-15,Aero Max Drone,Gadgets,11,715000,South,65000,105
2023-02-15,Lumina VR Headset,Wearables,15,675000,North,45000,57
2023-02-15,Echelon Gaming Desk,Furniture,9,315000,North,35000,148
2023-02-16,Quantum Pro Laptop,Electronics,4,600000,East,150000,105
2023-02-16,Titan GPU X,Components,7,595000,South,85000,63
2023-02-16,Aero Max Drone,Gadgets,9,585000,West,65000,179
2023-02-16,Lumina VR Headset,Wearables,18,810000,North,45000,63
2023-02-16,Echelon Gaming Desk,Furniture,11,385000,East,35000,67
2023-02-17,Quantum Pro Laptop,Electronics,5,750000,South,150000,87
2023-02-17,Titan GPU X,Components,6,510000,North,85000,168
2023-02-17,Aero Max Drone,Gadgets,12,780000,North,65000,77
2023-02-17,Lumina VR Headset,Wearables,13,585000,West,45000,74
2023-02-17,Echelon Gaming Desk,Furniture,8,280000,North,35000,62
2023-02-18,Quantum Pro Laptop,Electronics,9,1350000,East,150000,158
2023-02-18,Titan GPU X,Components,13,1105000,South,85000,160
2023-02-18,Aero Max Drone,Gadgets,21,1365000,East,65000,57
2023-02-18,Lumina VR Headset,Wearables,23,1035000,West,45000,162
2023-02-18,Echelon Gaming Desk,Furniture,10,350000,North,35000,55
2023-02-19,Quantum Pro Laptop,Electronics,8,1200000,West,150000,75
2023-02-19,Titan GPU X,Components,9,765000,East,85000,158
2023-02-19,Aero Max Drone,Gadgets,18,1170000,South,65000,170
2023-02-19,Lumina VR Headset,Wearables,20,900000,South,45000,119
2023-02-19,Echelon Gaming Desk,Furniture,13,455000,East,35000,161
2023-02-20,Quantum Pro Laptop,Electronics,4,600000,South,150000,143
2023-02-20,Titan GPU X,Components,7,595000,East,85000,104
2023-02-20,Aero Max Drone,Gadgets,13,845000,East,65000,183
2023-02-20,Lumina VR Headset,Wearables,15,675000,South,45000,162
2023-02-20,Echelon Gaming Desk,Furniture,13,455000,South,35000,128
2023-02-21,Quantum Pro Laptop,Electronics,5,750000,East,150000,185
2023-02-21,Titan GPU X,Components,9,765000,North,85000,119
2023-02-21,Aero Max Drone,Gadgets,12,780000,South,65000,167
2023-02-21,Lumina VR Headset,Wearables,13,585000,West,45000,162
2023-02-21,Echelon Gaming Desk,Furniture,11,385000,West,35000,96
2023-02-22,Quantum Pro Laptop,Electronics,5,750000,South,150000,86
2023-02-22,Titan GPU X,Components,9,765000,South,85000,188
2023-02-22,Aero Max Drone,Gadgets,11,715000,East,65000,183
2023-02-22,Lumina VR Headset,Wearables,16,720000,South,45000,59
2023-02-22,Echelon Gaming Desk,Furniture,13,455000,South,35000,62
2023-02-23,Quantum Pro Laptop,Electronics,6,900000,West,150000,179
2023-02-23,Titan GPU X,Components,11,935000,East,85000,143
2023-02-23,Aero Max Drone,Gadgets,11,715000,East,65000,98
2023-02-23,Lumina VR Headset,Wearables,16,720000,South,45000,127
2023-02-23,Echelon Gaming Desk,Furniture,11,385000,North,35000,169
2023-02-24,Quantum Pro Laptop,Electronics,5,750000,West,150000,199
2023-02-24,Titan GPU X,Components,8,680000,West,85000,113
2023-02-24,Aero Max Drone,Gadgets,13,845000,North,65000,63
2023-02-24,Lumina VR Headset,Wearables,16,720000,West,45000,79
2023-02-24,Echelon Gaming Desk,Furniture,9,315000,East,35000,172
2023-02-25,Quantum Pro Laptop,Electronics,7,1050000,South,150000,111
2023-02-25,Titan GPU X,Components,13,1105000,North,85000,195
2023-02-25,Aero Max Drone,Gadgets,16,1040000,West,65000,121
2023-02-25,Lumina VR Headset,Wearables,15,675000,East,45000,174
2023-02-25,Echelon Gaming Desk,Furniture,12,420000,South,35000,146
2023-02-26,Quantum Pro Laptop,Electronics,7,1050000,North,150000,194
2023-02-26,Titan GPU X,Components,14,1190000,North,85000,102
2023-02-26,Aero Max Drone,Gadgets,17,1105000,East,65000,183
2023-02-26,Lumina VR Headset,Wearables,24,1080000,East,45000,184
2023-02-26,Echelon Gaming Desk,Furniture,16,560000,West,35000,64
2023-02-27,Quantum Pro Laptop,Electronics,5,750000,East,150000,82
2023-02-27,Titan GPU X,Components,9,765000,West,85000,87
2023-02-27,Aero Max Drone,Gadgets,12,780000,North,65000,146
2023-02-27,Lumina VR Headset,Wearables,17,765000,North,45000,135
2023-02-27,Echelon Gaming Desk,Furniture,11,385000,South,35000,59
2023-02-28,Quantum Pro Laptop,Electronics,6,900000,South,150000,87
2023-02-28,Titan GPU X,Components,8,680000,North,85000,96
2023-02-28,Aero Max Drone,Gadgets,14,910000,North,65000,96
2023-02-28,Lumina VR Headset,Wearables,14,630000,West,45000,125
2023-02-28,Echelon Gaming Desk,Furniture,12,420000,South,35000,92
2023-03-01,Quantum Pro Laptop,Electronics,6,900000,East,150000,118
2023-03-01,Titan GPU X,Components,6,510000,East,85000,96
2023-03-01,Aero Max Drone,Gadgets,11,715000,South,65000,95
2023-03-01,Lumina VR Headset,Wearables,17,765000,West,45000,160
2023-03-01,Echelon Gaming Desk,Furniture,10,350000,West,35000,109
2023-03-02,Quantum Pro Laptop,Electronics,4,600000,West,150000,117
2023-03-02,Titan GPU X,Components,8,680000,North,85000,169
2023-03-02,Aero Max Drone,Gadgets,11,715000,North,65000,100
2023-03-02,Lumina VR Headset,Wearables,18,810000,North,45000,89
2023-03-02,Echelon Gaming Desk,Furniture,9,315000,South,35000,159
2023-03-03,Quantum Pro Laptop,Electronics,4,600000,West,150000,106
2023-03-03,Titan GPU X,Components,6,510000,East,85000,192
2023-03-03,Aero Max Drone,Gadgets,10,650000,North,65000,102
2023-03-03,Lumina VR Headset,Wearables,17,765000,North,45000,84
2023-03-03,Echelon Gaming Desk,Furniture,9,315000,East,35000,74
2023-03-04,Quantum Pro Laptop,Electronics,5,750000,East,150000,66
2023-03-04,Titan GPU X,Components,6,510000,West,85000,157
2023-03-04,Aero Max Drone,Gadgets,16,1040000,North,65000,137
2023-03-04,Lumina VR Headset,Wearables,22,990000,North,45000,78
2023-03-04,Echelon Gaming Desk,Furniture,18,630000,West,35000,163
2023-03-05,Quantum Pro Laptop,Electronics,8,1200000,North,150000,98
2023-03-05,Titan GPU X,Components,11,935000,West,85000,112
2023-03-05,Aero Max Drone,Gadgets,14,910000,North,65000,153
2023-03-05,Lumina VR Headset,Wearables,30,1350000,North,45000,172
2023-03-05,Echelon Gaming Desk,Furniture,14,490000,West,35000,111
2023-03-06,Quantum Pro Laptop,Electronics,4,600000,North,150000,79
2023-03-06,Titan GPU X,Components,7,595000,West,85000,68
2023-03-06,Aero Max Drone,Gadgets,15,975000,West,65000,162
2023-03-06,Lumina VR Headset,Wearables,9,405000,South,45000,112
2023-03-06,Echelon Gaming Desk,Furniture,9,315000,East,35000,152
2023-03-07,Quantum Pro Laptop,Electronics,4,600000,East,150000,81
2023-03-07,Titan GPU X,Components,8,680000,South,85000,173
2023-03-07,Aero Max Drone,Gadgets,11,715000,North,65000,136
2023-03-07,Lumina VR Headset,Wearables,14,630000,North,45000,116
2023-03-07,Echelon Gaming Desk,Furniture,11,385000,West,35000,121
2023-03-08,Quantum Pro Laptop,Electronics,5,750000,East,150000,100
2023-03-08,Titan GPU X,Components,8,680000,North,85000,141
2023-03-08,Aero Max Drone,Gadgets,11,715000,West,65000,137
2023-03-08,Lumina VR Headset,Wearables,15,675000,South,45000,81
2023-03-08,Echelon Gaming Desk,Furniture,10,350000,West,35000,191
2023-03-09,Quantum Pro Laptop,Electronics,5,750000,East,150000,104
2023-03-09,Titan GPU X,Components,6,510000,South,85000,178
2023-03-09,Aero Max Drone,Gadgets,15,975000,East,65000,197
2023-03-09,Lumina VR Headset,Wearables,17,765000,East,45000,168
2023-03-09,Echelon Gaming Desk,Furniture,9,315000,West,35000,69
2023-03-10,Quantum Pro Laptop,Electronics,4,600000,South,150000,186
2023-03-10,Titan GPU X,Components,10,850000,South,85000,102
2023-03-10,Aero Max Drone,Gadgets,12,780000,South,65000,157
2023-03-10,Lumina VR Headset,Wearables,15,675000,West,45000,130
2023-03-10,Echelon Gaming Desk,Furniture,10,350000,South,35000,177
2023-03-11,Quantum Pro Laptop,Electronics,8,1200000,West,150000,163
2023-03-11,Titan GPU X,Components,15,1275000,East,85000,71
2023-03-11,Aero Max Drone,Gadgets,19,1235000,East,65000,53
2023-03-11,Lumina VR Headset,Wearables,25,1125000,South,45000,195
2023-03-11,Echelon Gaming Desk,Furniture,17,595000,West,35000,134
2023-03-12,Quantum Pro Laptop,Electronics,7,1050000,South,150000,66
2023-03-12,Titan GPU X,Components,14,1190000,North,85000,171
2023-03-12,Aero Max Drone,Gadgets,15,975000,South,65000,76
2023-03-12,Lumina VR Headset,Wearables,22,990000,North,45000,80
2023-03-12,Echelon Gaming Desk,Furniture,15,525000,West,35000,102
2023-03-13,Quantum Pro Laptop,Electronics,5,750000,East,150000,187
2023-03-13,Titan GPU X,Components,8,680000,West,85000,171
2023-03-13,Aero Max Drone,Gadgets,13,845000,South,65000,113
2023-03-13,Lumina VR Headset,Wearables,16,720000,North,45000,100
2023-03-13,Echelon Gaming Desk,Furniture,10,350000,North,35000,85
2023-03-14,Quantum Pro Laptop,Electronics,5,750000,West,150000,162
2023-03-14,Titan GPU X,Components,9,765000,East,85000,88
2023-03-14,Aero Max Drone,Gadgets,13,845000,East,65000,160
2023-03-14,Lumina VR Headset,Wearables,15,675000,West,45000,199
2023-03-14,Echelon Gaming Desk,Furniture,9,315000,West,35000,197
2023-03-15,Quantum Pro Laptop,Electronics,5,750000,East,150000,130
2023-03-15,Titan GPU X,Components,11,935000,South,85000,122
2023-03-15,Aero Max Drone,Gadgets,12,780000,North,65000,89
2023-03-15,Lumina VR Headset,Wearables,15,675000,East,45000,153
2023-03-15,Echelon Gaming Desk,Furniture,13,455000,South,35000,74
2023-03-16,Quantum Pro Laptop,Electronics,5,750000,North,150000,157
2023-03-16,Titan GPU X,Components,7,595000,West,85000,151
2023-03-16,Aero Max Drone,Gadgets,9,585000,West,65000,98
2023-03-16,Lumina VR Headset,Wearables,18,810000,North,45000,66
2023-03-16,Echelon Gaming Desk,Furniture,10,350000,East,35000,61
2023-03-17,Quantum Pro Laptop,Electronics,5,750000,South,150000,129
2023-03-17,Titan GPU X,Components,8,680000,North,85000,130
2023-03-17,Aero Max Drone,Gadgets,13,845000,East,65000,167
2023-03-17,Lumina VR Headset,Wearables,15,675000,South,45000,138
2023-03-17,Echelon Gaming Desk,Furniture,10,350000,West,35000,192
2023-03-18,Quantum Pro Laptop,Electronics,6,900000,South,150000,96
2023-03-18,Titan GPU X,Components,11,935000,West,85000,59
2023-03-18,Aero Max Drone,Gadgets,14,910000,East,65000,63
2023-03-18,Lumina VR Headset,Wearables,30,1350000,East,45000,166
2023-03-18,Echelon Gaming Desk,Furniture,12,420000,West,35000,108
2023-03-19,Quantum Pro Laptop,Electronics,7,1050000,East,150000,131
2023-03-19,Titan GPU X,Components,14,1190000,East,85000,66
2023-03-19,Aero Max Drone,Gadgets,10,650000,South,65000,157
2023-03-19,Lumina VR Headset,Wearables,18,810000,East,45000,157
2023-03-19,Echelon Gaming Desk,Furniture,17,595000,East,35000,64
2023-03-20,Quantum Pro Laptop,Electronics,5,750000,South,150000,190
2023-03-20,Titan GPU X,Components,10,850000,South,85000,65
2023-03-20,Aero Max Drone,Gadgets,14,910000,South,65000,104
2023-03-20,Lumina VR Headset,Wearables,15,675000,East,45000,83
2023-03-20,Echelon Gaming Desk,Furniture,11,385000,East,35000,172
2023-03-21,Quantum Pro Laptop,Electronics,5,750000,East,150000,95
2023-03-21,Titan GPU X,Components,9,765000,North,85000,111
2023-03-21,Aero Max Drone,Gadgets,11,715000,North,65000,65
2023-03-21,Lumina VR Headset,Wearables,14,630000,East,45000,133
2023-03-21,Echelon Gaming Desk,Furniture,12,420000,North,35000,114
2023-03-22,Quantum Pro Laptop,Electronics,4,600000,South,150000,169
2023-03-22,Titan GPU X,Components,7,595000,South,85000,117
2023-03-22,Aero Max Drone,Gadgets,13,845000,West,65000,122
2023-03-22,Lumina VR Headset,Wearables,19,855000,East,45000,98
2023-03-22,Echelon Gaming Desk,Furniture,8,280000,East,35000,86
2023-03-23,Quantum Pro Laptop,Electronics,5,750000,North,150000,173
2023-03-23,Titan GPU X,Components,9,765000,South,85000,137
2023-03-23,Aero Max Drone,Gadgets,12,780000,East,65000,111
